street,unit,avail_start,avail_end,price,bedrooms,bathrooms,max_residents,utilities,pet_policy,pet_friendly,status,is_studio,has_study_room
"6522 Del Playa Drive, Isla Vista, CA","6522 Del Playa Drive - Unit A","7/11/26","6/19/27",8700,3,2,6,"Landscape Maintenance","No pets",False,"Available",False,False
"6710 Pasado Road, Isla Vista, CA","6710 Pasado Road - Unit 1","7/11/26","6/19/27",5100,2,1.5,4,"Water, Trash, Landscape Maintenance","Pet friendly",True,"Leased (through June 2027)",False,False
"6731 Pasado Road, Isla Vista, CA","6731 Pasado Road - Unit B","7/11/26","6/19/27",6000,2,1,5,"Water, Landscape Maintenance","Pet friendly",True,"Processing applications",False,False
"6757 Pasado Road, Isla Vista, CA","6757 Pasado Road","7/11/26","6/19/27",7500,2,2,6,"Water, Landscape Maintenance","Pet friendly",True,"Leased (through June 2027)",False,False
"6587 Picasso Road, Isla Vista, CA","6587 Picasso Road - Unit 2","7/11/26","6/19/27",6725,3,2,5,"Water, Trash, Landscape Maintenance","Pet friendly",True,"Leased (through June 2027)",False,False
"6587 Picasso Road, Isla Vista, CA","6587 Picasso Road - Unit 4","7/11/26","6/19/27",8070,3,2,6,"Water, Trash, Landscape Maintenance","Pet friendly",True,"Processing applications",False,False
"6606 Sabado Tarde Road, Isla Vista, CA","6606 Sabado Tarde Road","7/11/26","6/19/27",12800,4,3,8,"Landscape Maintenance","Pet friendly",True,"Leased (through June 2027)",False,False
"6610 Sabado Tarde Road, Isla Vista, CA","6610 Sabado Tarde Road - Unit A","7/11/26","6/19/27",5800,2,1,4,"Water, Landscape Maintenance","Pet friendly",True,"Leased (through June 2027)",False,False
"6646 Sabado Tarde Road, Isla Vista, CA","6646 Sabado Tarde Road - Unit A","7/11/26","6/19/27",10150,3,3,7,"Water, Landscape Maintenance","Pet friendly",True,"Processing applications",False,False
"6702 Sabado Tarde Road, Isla Vista, CA","6702 Sabado Tarde Road - Unit B","7/11/26","6/19/27",7500,3,2,5,"Water, Landscape Maintenance","Pet friendly",True,"Leased (through June 2027)",False,False
"6771 Sabado Tarde Road, Isla Vista, CA","6771 Sabado Tarde Road - Unit B","7/11/26","6/19/27",5600,2,1,4,"Water, Landscape Maintenance","Pet friendly",True,"Available",False,False
"6617 Trigo Road, Isla Vista, CA","6617 Trigo Road - Unit A","7/11/26","6/19/27",5900,2,1.5,4,"Water, Landscape Maintenance","Pet friendly",True,"Available",False,False
"6643 Trigo Road, Isla Vista, CA","6643 Trigo Road - Unit B","7/11/26","6/19/27",6000,2,1,5,"Water, Landscape Maintenance","Pet friendly",True,"Processing applications",False,False
"6645 Trigo Road, Isla Vista, CA","6645 Trigo Road - Unit A","7/11/26","6/19/27",6000,2,1,5,"Water, Landscape Maintenance","Pet friendly",True,"Available",False,False
