street,unit,status,avail_start,avail_end,price,bedrooms,bathrooms,max_residents,utilities,pet_policy,pet_friendly
"6512 Del Playa Drive, Isla Vista, CA","6512 Del Playa Drive - Unit 1","leased","","","",3,2,6,"Water, Landscape Maintenance","No pets",False
"6512 Del Playa Drive, Isla Vista, CA","6512 Del Playa Drive - Unit 2","leased","","","",3,2,6,"Water, Landscape Maintenance","No pets",False

"6522 Del Playa Drive, Isla Vista, CA","6522 Del Playa Drive - Unit A","processing","","","",3,2,6,"Landscape Maintenance","No pets",False
"6522 Del Playa Drive, Isla Vista, CA","6522 Del Playa Drive - Unit B","processing","","","",3,2,6,"Landscape Maintenance","No pets",False

"6697 Del Playa Drive, Isla Vista, CA","6697 Del Playa Drive - Main House","leased","","","",4,2,8,"Landscape Maintenance","No pets",False
"6697 Del Playa Drive, Isla Vista, CA","6697 Del Playa Drive - Unit A","leased","","","Studio",1,2,"Landscape Maintenance","No pets",False

"6850 Del Playa Drive, Isla Vista, CA","6850 Del Playa Drive","leased","","","4 + study room",3,8,"Landscape Maintenance","Pet friendly",True

"6728 Del Playa Drive, Isla Vista, CA","6728 Del Playa Drive","processing","","","",5,3,10,"Landscape Maintenance","No pets",False

"6516 El Nido Ln., Isla Vista, CA","6516 El Nido Lane - Unit 1","leased","","","",2,2,4,"Water, Trash, Landscape Maintenance","Pet friendly",True
"6516 El Nido Ln., Isla Vista, CA","6516 El Nido Lane - Unit 2","leased","","","",2,1,4,"Water, Trash, Landscape Maintenance","Pet friendly",True
"6516 El Nido Ln., Isla Vista, CA","6516 El Nido Lane - Unit 3","leased","","","",2,2,4,"Water, Trash, Landscape Maintenance","Pet friendly",True
"6516 El Nido Ln., Isla Vista, CA","6516 El Nido Lane - Unit 4","processing","","","",2,2,4,"Water, Trash, Landscape Maintenance","Pet friendly",True

"6835 Fortuna Road, Isla Vista, CA","6835 Fortuna Road","leased","","","",3,2,6,"Landscape Maintenance","Pet friendly",True
"6839 Fortuna Road, Isla Vista, CA","6839 Fortuna Road","leased","","","",4,2.5,8,"Landscape Maintenance","Pet friendly",True

"6605 Pasado Road, Isla Vista, CA","6605 Pasado Road","processing","","","",2,2,5,"Landscape Maintenance","Pet friendly",True

"6611 Pasado Road, Isla Vista, CA","6611 Pasado Road - Unit A","processing","","","",3,2,7,"Water, Landscape Maintenance","Pet friendly",True
"6611 Pasado Road, Isla Vista, CA","6611 Pasado Road - Unit B","processing","","","",4,2,8,"Water, Landscape Maintenance","Pet friendly",True

"6621 Pasado Road, Isla Vista, CA","6621 Pasado Road - Unit A","leased","","","",3,2,6,"Landscape Maintenance","Pet friendly",True
"6621 Pasado Road, Isla Vista, CA","6621 Pasado Road - Unit B","leased","","","",2,2,5,"Landscape Maintenance","Pet friendly",True

"6710 Pasado Road, Isla Vista, CA","6710 Pasado Road - Unit 1","processing","","","",2,1.5,4,"Water, Trash, Landscape Maintenance","Pet friendly",True
"6710 Pasado Road, Isla Vista, CA","6710 Pasado Road - Unit 2","processing","","","",2,1.5,4,"Water, Trash, Landscape Maintenance","Pet friendly",True
"6710 Pasado Road, Isla Vista, CA","6710 Pasado Road - Unit 3","leased","","","",2,1.5,4,"Water, Trash, Landscape Maintenance","Pet friendly",True
"6710 Pasado Road, Isla Vista, CA","6710 Pasado Road - Unit 4","processing","","","",2,1.5,4,"Water, Trash, Landscape Maintenance","Pet friendly",True

"6731 Pasado Road, Isla Vista, CA","6731 Pasado Road - Unit A","available","7/11/26","6/19/27",6000,"2 + study room",1,5,"Water, Landscape Maintenance","Pet friendly",True
